"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"D125","3.2X1.6X1.1","250.92mm","196.254mm","250.92mm","196.254mm","249.1699mm","196.254mm","T","360.00","LED2"
"D124","3.2X1.6X1.1","237.42mm","196.254mm","237.42mm","196.254mm","235.6699mm","196.254mm","T","360.00","LED2"
"D123","3.2X1.6X1.1","223.92mm","196.254mm","223.92mm","196.254mm","222.17mm","196.254mm","T","360.00","LED2"
"D122","3.2X1.6X1.1","210.42mm","196.254mm","210.42mm","196.254mm","208.67mm","196.254mm","T","360.00","LED2"
"D121","3.2X1.6X1.1","196.92mm","196.254mm","196.92mm","196.254mm","195.17mm","196.254mm","T","360.00","LED2"
"D120","3.2X1.6X1.1","183.42mm","196.254mm","183.42mm","196.254mm","181.6699mm","196.254mm","T","360.00","LED2"
"D119","3.2X1.6X1.1","169.92mm","196.254mm","169.92mm","196.254mm","168.17mm","196.254mm","T","360.00","LED2"
"D118","3.2X1.6X1.1","156.42mm","196.254mm","156.42mm","196.254mm","154.67mm","196.254mm","T","360.00","LED2"
"D117","3.2X1.6X1.1","142.92mm","196.254mm","142.92mm","196.254mm","141.17mm","196.254mm","T","360.00","LED2"
"D116","3.2X1.6X1.1","129.42mm","196.254mm","129.42mm","196.254mm","127.67mm","196.254mm","T","360.00","LED2"
"D115","3.2X1.6X1.1","115.92mm","196.254mm","115.92mm","196.254mm","114.17mm","196.254mm","T","360.00","LED2"
"D114","3.2X1.6X1.1","102.42mm","196.254mm","102.42mm","196.254mm","100.67mm","196.254mm","T","360.00","LED2"
"D113","3.2X1.6X1.1","88.92mm","196.254mm","88.92mm","196.254mm","87.17mm","196.254mm","T","360.00","LED2"
"D112","3.2X1.6X1.1","291.42mm","206.254mm","291.42mm","206.254mm","289.67mm","206.254mm","T","360.00","LED2"
"D111","3.2X1.6X1.1","277.9199mm","206.2539mm","277.9199mm","206.254mm","276.1699mm","206.2539mm","T","360.00","LED2"
"D110","3.2X1.6X1.1","264.4199mm","206.2539mm","264.4199mm","206.254mm","262.6699mm","206.2539mm","T","360.00","LED2"
"D109","3.2X1.6X1.1","250.92mm","206.2539mm","250.92mm","206.254mm","249.1699mm","206.2539mm","T","360.00","LED2"
"D108","3.2X1.6X1.1","237.42mm","206.2539mm","237.42mm","206.254mm","235.6699mm","206.2539mm","T","360.00","LED2"
"D107","3.2X1.6X1.1","223.92mm","206.2539mm","223.92mm","206.254mm","222.1699mm","206.2539mm","T","360.00","LED2"
"D106","3.2X1.6X1.1","210.42mm","206.2539mm","210.42mm","206.254mm","208.6699mm","206.2539mm","T","360.00","LED2"
"D105","3.2X1.6X1.1","196.92mm","206.2539mm","196.92mm","206.254mm","195.1699mm","206.2539mm","T","360.00","LED2"
"D104","3.2X1.6X1.1","183.42mm","206.2539mm","183.42mm","206.254mm","181.6699mm","206.2539mm","T","360.00","LED2"
"D103","3.2X1.6X1.1","169.92mm","206.2539mm","169.92mm","206.254mm","168.17mm","206.2539mm","T","360.00","LED2"
"D102","3.2X1.6X1.1","156.42mm","206.2539mm","156.42mm","206.254mm","154.67mm","206.2539mm","T","360.00","LED2"
"D101","3.2X1.6X1.1","142.92mm","206.2539mm","142.92mm","206.254mm","141.17mm","206.2539mm","T","360.00","LED2"
"D100","3.2X1.6X1.1","129.42mm","206.2539mm","129.42mm","206.254mm","127.67mm","206.2539mm","T","360.00","LED2"
"D99","3.2X1.6X1.1","115.92mm","206.2539mm","115.92mm","206.254mm","114.17mm","206.2539mm","T","360.00","LED2"
"D98","3.2X1.6X1.1","102.42mm","206.2539mm","102.42mm","206.254mm","100.67mm","206.2539mm","T","360.00","LED2"
"D97","3.2X1.6X1.1","88.92mm","206.2539mm","88.92mm","206.254mm","87.17mm","206.2539mm","T","360.00","LED2"
"D96","3.2X1.6X1.1","291.42mm","216.254mm","291.42mm","216.254mm","289.67mm","216.254mm","T","360.00","LED2"
"D95","3.2X1.6X1.1","277.9199mm","216.254mm","277.9199mm","216.254mm","276.1699mm","216.254mm","T","360.00","LED2"
"D94","3.2X1.6X1.1","264.4199mm","216.254mm","264.4199mm","216.254mm","262.6699mm","216.254mm","T","360.00","LED2"
"D93","3.2X1.6X1.1","250.92mm","216.254mm","250.92mm","216.254mm","249.1699mm","216.254mm","T","360.00","LED2"
"D92","3.2X1.6X1.1","237.42mm","216.254mm","237.42mm","216.254mm","235.6699mm","216.254mm","T","360.00","LED2"
"D91","3.2X1.6X1.1","223.92mm","216.254mm","223.92mm","216.254mm","222.1699mm","216.254mm","T","360.00","LED2"
